Symbol,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Exchange,Price,Active,Description,Homepage URL,Employees,Revenue,Revenue (USD),Working Capital Ratio,Quick Ratio,EPS,P/E Ratio,D/E Ratio,ROE,Timestamp
9983.T,9983.T,"Fast Retailing Co., Ltd.",15207088218610,JPY,15207088218610,15207088218610,JPX,49570.0,true,"Fast Retailing Co., Ltd., through its subsidiaries, operates as an apparel designer and retailer in Japan and internationally. The company operates through four segments: UNIQLO Japan, UNIQLO International, GU, and Global Brands. It manufactures and retails clothing for men, women, children, and babies; and lingerie, as well as other goods and items. The company operates stores and franchises under the UNIQLO, GU, PLST, Theory, COMPTOIR DES COTONNIERS, J Brand, and PRINCESSE TAM.TAM brand names. It also sells its products through online; and provides real estate leasing services. The company was formerly known as Ogori Shoji Co., Ltd. and changed its name to Fast Retailing Co., Ltd. in September 1991. Fast Retailing Co., Ltd. was founded in 1949 and is headquartered in Yamaguchi, Japan.",https://www.fastretailing.com,59871,3103836000000,3103836000000,,,,,,,2025-01-23T14:08:29.169224+00:00
7936.T,7936.T,ASICS Corporation,2636057816774,JPY,2636057816774,2636057816774,JPX,3683.0,true,"ASICS Corporation manufactures and sells sports goods in Japan, the Americas, Europe, Oceania, Southeast and South Asia, and internationally. It offers sports shoes, apparel, and equipment. The company sells its products under the ASICS, ASICSTIGER, and Onitsuka Tiger brands through 989 retail stores, as well as through online. ASICS Corporation was founded in 1949 and is headquartered in Kobe, Japan.",https://corp.asics.com/jp,8927,570463000000,570463000000,,,,,,,2025-01-23T14:08:35.625182+00:00
MC.PA,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",356567913373,EUR,356567913373,356567913373,EURONEXT,713.5,true,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne operates as a luxury goods company worldwide. The company offers champagnes, wines, and spirits under the Clos des Lambrays, Château d'Yquem, Dom Pérignon, Ruinart, Moët & Chandon, Hennessy, Veuve Clicquot, Ardbeg, Château Cheval Blanc, Glenmorangie, Krug, Mercier, Chandon, Cape Mentelle, Newton Vineyard, Cloudy Bay, Belvedere, Terrazas de los Andes, Bodega Numanthia, Cheval des Andes, Woodinville, Ao Yun, Clos19, and Volcan de mi Tierra brands. It also provides fashion and leather products under the Berluti, Celine, Christian Dior, Emilio Pucci, FENDI, Givenchy, Kenzo, Loewe, Loro Piana, Louis Vuitton, Marc Jacobs, Moynat, Patou, and RIMOWA brands. In addition, the company offers perfumes and cosmetics under the Acqua di Parma, Benefit Cosmetics, Cha Ling, Fenty Beauty by Rihanna, Fresh, Givenchy Parfums, Guerlain, KVD Beauty, Kenzo Parfums, Maison Francis Kurkdjian, Make Up For Ever, Marc Jacobs Beauty, Officine Universelle Buly, Parfums Christian Dior, and Perfumes Loewe brands; watches and jewelry under the Bulgari, Chaumet, Fred, Hublot, Repossi, TAG Heuer, Tiffany & Co., and Zenith brands; and custom-designed yachts under the Feadship brand name, as well as designs and builds luxury yachts under the Royal Van Lent brand. Further, it provides daily newspapers under the Les Échos brand; Belmond, a luxury tourism service; home other activities under the Belmond, Cheval Blanc, Connaissance des Arts, Cova, Investir, Jardin d'Acclimatation, La Samaritaine, Le Parisien, and Radio Classique brands; and selective retailing products under the DFS, La Grande Epicerie de Paris, Le Bon Marché Rive Gauche, Sephora, and Starboard Cruise Services brands, as well as operates Jardin d'Acclimatation, a leisure and amusement park. The company operates 5,556 stores. LVMH Moët Hennessy - Louis Vuitton, Société Européenne was incorporated in 1923 and is headquartered in Paris, France.",https://www.lvmh.com,192287,86153000000,86153000000,,,,,,,2025-01-23T14:08:27.056385+00:00
ABFRL.NS,ABFRL.NS,Aditya Birla Fashion and Retail Limited,301557173024,INR,301557173024,301557173024,NSE,282.7,true,"Aditya Birla Fashion and Retail Limited designs, manufactures, distributes, and retails fashion apparel and accessories in India and internationally. It operates in two segments, Madura Fashion & Lifestyle, and Pantaloons. The company offers shirts, trousers, denims, t-shirts, dresses, suits and blazers, casuals, ceremonial, and party wear; shorts, joggers, track pants, sweatshirts, jackets, loungewear, biker t-shirts, polos, chinos, kurtas and bottom wear, occasion wear, festive ensembles, streetwear, classic shirts, logo T-shirts, casual pants, lehengas and kurta sets, ethnic bottom wear, athleisure wear, workwear, tops, sleepwear, crops tops, skirts, jeans, sportswear; accessories; and shawls, stoles, shoes, and lingerie, as well as home furnishings, footwear, handbags, bed linen, towels, smart table linen, dressy cushion covers, and others. It markets its products primarily under the Louis Philippe, Van Heusen, Allen Solly, and Peter England brands, as well as operates fashion store under the Pantaloons brand. The company also holds online and offline rights to the India network of California-based fashion brand Forever 21; and international brands portfolio, such as The Collective, Simon Carter, American Eagle, Ralph Lauren, Hackett London, Ted Baker, and Fred Perry. It operates 3091 brand stores and 377 Pantaloons stores, as well as 28,585 multi-brand outlets in approximately 900 cities in India. The company was formerly known as Pantaloons Fashion & Retail Limited and changed its name to Aditya Birla Fashion and Retail Limited in January 2016. Aditya Birla Fashion and Retail Limited was incorporated in 2007 and is based in Mumbai, India.",https://www.abfrl.com,26965,139302800000,139302800000,,,,,,,2025-01-23T14:08:37.593003+00:00
RMS.PA,RMS.PA,Hermès International Société en commandite par actions,274916622750,EUR,274916622750,274916622750,EURONEXT,2625.0,true,"Hermès International Société en commandite par actions engages in the production, wholesale, and retail of various goods. The company offers leather goods and saddlery, such as bags for men and women, clutches, briefcases, luggage, small leather goods, diaries and writing objects, saddles, bridles, and a range of equestrian products and clothing; ready-to-wear garments for men and women; and accessories, including jewelry, belts, hats, gloves, the Internet of Things products, and shoes. It also provides silk and textiles for men and women; art of living and tableware products; perfumes; and watches. In addition, the company is also involved in weaving, engraving, printing, dyeing, finishing, and producing textiles; and purchasing, tanning, dyeing, finishing, and selling precious leathers. It sells its products through a network of 303 stores worldwide. The company also sells watches, perfumes, and tableware through a network of specialized stores. Hermès International Société en commandite par actions was founded in 1837 and is based in Paris, France. Hermès International Société en commandite par actions operates as a subsidiary of H51 SAS.",https://finance.hermes.com,23242,13427000000,13427000000,,,,,,,2025-01-23T14:08:28.505131+00:00
HM-B.ST,HM-B.ST,H & M Hennes & Mauritz AB (publ),238041905727,SEK,238041905727,238041905727,STO,148.05,true,"H & M Hennes & Mauritz AB (publ) provides clothing, accessories, footwear, cosmetics, home textiles, and homeware for women, men, teenagers, children, and babies worldwide. It offers sportswear, shoes, bags, beauty products, and ready-to-wear; and interior products, including bed linens, dinnerware, textiles, furniture, and lighting. The company provides its products under the H&M, H&M HOME, COS, & Other Stories, Monki, Weekday, ARKET, Afound, Singular Society, Treadler, Creator Studio, and Sellpy brands. As of November 30, 2021, the company had 54 online markets and approximately 4,801 stores in 75 markets, including franchise markets. H & M Hennes & Mauritz AB (publ) was founded in 1947 and is headquartered in Stockholm, Sweden.",https://www.hmgroup.com,143000,236035000000,236035000000,,,,,,,2025-01-23T14:08:29.556014+00:00
1913.HK,1913.HK,Prada S.p.A.,158646840000,HKD,158646840000,158646840000,HKSE,62.0,true,"Prada S.p.A., together with its subsidiaries, designs, produces, and distributes leather goods, handbags, footwear, apparel, and accessories in Europe, the Americas, the Asia Pacific, Japan, the Middle East, and Africa. It offers its products under the Prada, Miu Miu, Church's, and Car Shoe brands. The company also provides eyewear and fragrances under licensing agreements, as well as operates in the food sector under the Marchesi 1824 brand. As of December 31, 2021, it had 635 directly operated stores. The company also sells its products through a network of approximately 26 franchise operated stores; multi-brand stores; luxury department stores; independent retailers; and online retailers. In addition, it engages in the event management and real estate business, as well as operates duty-free stores. The company was founded in 1913 and is headquartered in Milan, Italy. Prada S.p.A. is a subsidiary of Prada Holding S.p.A.",https://www.pradagroup.com,14876,4726411000,4726411000,,,,,,,2025-01-23T14:08:30.437686+00:00
ITX.MC,ITX.MC,"Industria de Diseño Textil, S.A.",152186399364,EUR,152186399364,152186399364,BME,48.86,true,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",https://www.inditex.com,153541,35947000000,35947000000,,,,,,,2025-01-23T14:08:27.558515+00:00
TJX,TJX,"The TJX Companies, Inc.",137788291200,USD,137788291200,137788291200,NYSE,122.57,true,"The TJX Companies, Inc., together with its subsidiaries, operates as an off-price apparel and home fashions retailer. It operates through four segments: Marmaxx, HomeGoods, TJX Canada, and TJX International. The company sells family apparel, including footwear and accessories; home fashions, such as home basics, furniture, rugs, lighting products, giftware, soft home products, decorative accessories, tabletop, and cookware, as well as expanded pet, kids, and gourmet food departments; jewelry and accessories; and other merchandise. As of February 23, 2022, it operated 1,284 T.J. Maxx, 1,148 Marshalls, 850 HomeGoods, 59 Sierra, and 39 Homesense stores, as well as tjmaxx.com, marshalls.com, and sierra.com in the United States; 293 Winners, 147 HomeSense, and 106 Marshalls stores in Canada; 618 T.K. Maxx and 77 Homesense stores, as well as tkmaxx.com in Europe; and 68 T.K. Maxx stores in Australia. The company was incorporated in 1962 and is headquartered in Framingham, Massachusetts.",https://www.tjx.com,349000,54217000000,54217000000,,,,,,,2025-01-23T14:08:48.992213+00:00
CDI.PA,CDI.PA,Christian Dior SE,118890891176,EUR,118890891176,118890891176,EURONEXT,659.0,true,"Christian Dior SE, through its subsidiaries, engages in the production, distribution, and retail of fashion and leather goods, wines and spirits, perfumes and cosmetics, and watches and jewelry worldwide. The company offers its fashion and leather goods under the Louis Vuitton, Christian Dior Couture, Loewe, Marc Jacobs, Celine, Kenzo, Givenchy, Pink Shirtmaker, Emilio Pucci, Berluti, Loro Piana, Rimowa brand names; wines and spirits under the Hennessy, Glenmorangie, Ardbeg, a Belvedere, Volcán de mi Tierra, Moët & Chandon, Dom Pérignon, Veuve Clicquot, Krug, Château d'Yquem, Ruinart, Belvedere, Glenmorangie, Newton Vineyards, Bodega Numanthia, and Château d'Esclans brand names; and perfumes and cosmetics under the Parfums Christian Dior, Guerlain, Parfums Givenchy, Make Up For Ever, Benefit Cosmetics, Fresh, Acqua di Parma, KVD Vegan Beauty, Fenty, Ole Henriksen, and Maison Francis Kurkdjian brand names. It also provides watches and jewelry under the Tiffany, Bvlgari, TAG Heuer, Zenith, Hublot, Chaumet, and Fred brand names. In addition, the company operates retail stores under the DFS Galleria, Sephora, Le Bon Marché, and Ile de Beauté names; publishes Le Parisien- Aujourd'hui en France, a daily newspaper; designs and builds yachts; and operates the Cova pastry shops. Further, it is involved in real estate activities under the La Samaritaine brand name; and hotel business. The company sells its products through store network, including e-commerce websites; and agents and distributors. As of December 31, 2021, it operated 5,556 stores. The company was incorporated in 1946 and is headquartered in Paris, France. Christian Dior SE was formerly a subsidiary of Semyrhamis SA.",https://www.dior-finance.com,164431,86153000000,86153000000,,,,,,,2025-01-23T14:08:27.795728+00:00
